1.1.7.01.01.01.001;Aspal
1.3.2.03.02.10.006;Catut
1.3.2.03.02.10.007;Pukul Sepatu
1.3.2.03.02.10.008;Gunting Kulit
1.3.2.03.02.10.009;Gunting Kain
1.3.2.03.02.10.010;Drek Mata Ayam
1.3.2.03.02.10.011;Jarum Kulit Satu Set
1.3.2.03.02.10.012;Uncek
1.3.2.03.02.10.013;Peralatan Tukang Kayu Lainnya
1.3.2.03.02.11.001;Dipan Ukur
1.3.2.03.02.11.002;Meteran Kain
1.3.2.03.02.11.003;Rol Meter
1.3.2.03.02.11.004;Jangka Berkaki
1.3.2.03.02.11.005;Patar Gip
1.3.2.03.02.11.006;Pisau Gip
1.3.2.03.02.11.007;Pararel Bar
1.3.2.03.02.11.008;Cermin Besar
1.3.2.03.02.11.009;Tangga Latihan
1.3.2.03.02.11.010;Trap Latihan
1.3.2.03.02.11.011;Peralatan Ukur, Gip Dan Feeting Lainnya
1.3.2.03.02.12.001;Mesin Cnc
1.3.2.03.02.12.002;Dynamo Tungku
1.3.2.03.02.12.003;Mesin Frais
1.3.2.03.02.12.004;Mesin Skraf
1.3.2.03.02.12.005;Mesin Bor Meja / Kaki Listrik
1.3.2.03.02.12.006;Palu Besar
1.3.2.03.02.12.007;Mesin Korter
1.3.2.03.02.12.008;Palu Kecil
1.3.2.03.02.12.009;Mesin Gerinda Duduk (Bench Gerinda)
1.3.2.03.02.12.010;Gegep Pemotong Kuku
1.3.2.03.02.12.011;Gegep Pemotong Paku
1.3.2.03.02.12.012;Pisau Renet
1.3.2.03.02.12.013;Mesin Jahit Terpal
1.3.2.03.02.12.014;Pelobang Tapel
1.3.2.03.02.12.015;Tang Buaya
1.3.2.03.02.12.016;Mesin Battery Set / Pengisi Accu
1.3.2.03.02.12.017;Peralatan Bengkel Lainnya
1.3.2.03.02.12.018;Mesin Blower Listrik / Mekanik
1.3.2.03.02.12.019;Mesin Sikat / Brush Machine
1.3.2.03.02.12.020;Mesin Pembuka Ban
1.3.2.03.02.12.021;Mesin Slep Kruk As
1.3.2.03.02.12.022;Mesin Asah Silider Cop
1.3.2.03.02.12.023;Mesin Gulung Spool
1.3.2.03.02.12.024;Mesin Gulung Plat
1.3.2.03.02.12.025;Mesin Pompa Air Pmk
1.3.2.03.02.12.026;Mesin Asah Klep
1.3.2.03.02.12.027;Mesin Tusuk / Stik
1.3.2.03.02.12.028;Mesin Bor Listrik Tangan
1.3.2.03.02.12.029;Mesin Nimbling
1.3.2.03.02.12.030;Mesin Gerinda Tangan Listrik
1.3.2.03.02.12.031;Mesin Potong Plat Bentuk / Hand Nimbler
1.3.2.03.02.12.032;Unit Cat
1.3.2.03.02.12.033;Cut Off Saw
1.3.2.03.02.12.034;Mesin Analisa System
1.3.2.03.02.12.035;Blender Las Potong
1.3.2.03.02.12.036;Mesin Cuci Kendaraan/ Car Washer
1.3.2.03.02.12.037;Perkakas Ac
1.3.2.03.02.12.038;Peralatan Bengkel Khusus Peladam Lainnya
1.3.2.03.02.13.001;Alat Bengkel Tak Bermesin Lainnya
1.3.2.03.03.01.001;Af Generator Tone Generator
1.3.2.03.03.01.002;Audio Signal Source
1.3.2.03.03.01.003;Audio Test Set
1.3.2.03.03.01.004;Audio Morse & Distributor Meter
1.3.2.03.03.01.005;Audio Sweep Osilator
1.3.2.03.03.01.006;Vtvm Volt
1.3.2.03.03.01.007;Independence Meter
1.3.2.03.03.01.008;Decible Meter
1.3.2.03.03.01.009;Crt Tester
1.3.2.03.03.01.010;Circuit Tester (Alat Ukur Universal)
1.3.2.03.03.01.011;Electronic Capasitor Tester
1.3.2.03.03.01.012;Illumino Meter
1.3.2.03.03.01.013;Ic Tester Semi Test Iv
1.3.2.03.03.01.014;Ic Meter
1.3.2.03.03.01.015;Mihvolt Meter
1.3.2.03.03.01.016;Multitester & Accessorie
1.3.2.03.03.01.017;Multisester Digital
1.3.2.03.03.01.018;Photo Illumination Meter
1.3.2.03.03.01.019;Transistor Tester Semitest I
1.3.2.03.03.01.020;Transistor Tester Semitest Ii
1.3.2.03.03.01.021;Transistor Tester Semitest V
1.3.2.03.03.01.022;Transistor Tester Avo
1.3.2.03.03.01.023;Volt Meter Elektronik
1.3.2.03.03.01.024;Volt Meter Digital
1.3.2.03.03.01.025;Volt Meter Higt Tension
1.3.2.03.03.01.026;Widw Band Level Meter
1.3.2.03.03.01.027;Automatic Distrotion Meter
1.3.2.03.03.01.028;Power Meter And Accessories
1.3.2.03.03.01.029;Ph Meter (Alat Ukur Universal)
1.3.2.03.03.01.030;Quasi Peak Meter
1.3.2.03.03.01.031;Thruline Watt Meter
1.3.2.03.03.01.032;Digital Multimeter (Alat Ukur Universal)
1.3.2.03.03.01.033;Multi Meter
1.3.2.03.03.01.034;Meter Calibrator
1.3.2.03.03.01.035;Moise Figure Meter
1.3.2.03.03.01.036;Distortion Analyzer
1.3.2.03.03.01.037;Vector Volt Meter (Alat Ukur Universal)
1.3.2.03.03.01.038;Pulse Generator (Alat Ukur Universal)
1.3.2.03.03.01.039;Dme Ground Station Test Set (Alat Ukur Universal)
1.3.2.03.03.01.040;Uhf Signal Generator
1.3.2.03.03.01.041;Sweep Oscillator (Alat Ukur Universal)
1.3.2.03.03.01.042;Vhf Signal Generator
1.3.2.03.03.01.043;Spektrum Analyzer
1.3.2.03.03.01.044;Tube Tester (Alat Ukur Universal)
1.3.2.03.03.01.045;Dosimeter & Accesories
1.3.2.03.03.01.046;Survey Meter (Alat Ukur Universal)
1.3.2.03.03.01.047;Sound Detector
1.3.2.03.03.01.048;Vidicon Quick Tester
1.3.2.03.03.01.049;Pattern For Tv Adjustment
1.3.2.03.03.01.050;Power Meter Cillibrator
1.3.2.03.03.01.051;Thermistor
1.3.2.03.03.01.052;Signal Generator Audio Vhf, Uhf
1.3.2.03.03.01.053;X - Tal Detector
1.3.2.03.03.01.054;Co - Axial Slot Line
1.3.2.03.03.01.055;Rf Volt Meter
1.3.2.03.03.01.056;Frekquency Wave Meter
1.3.2.03.03.01.057;Megger
1.3.2.03.03.01.058;Co Axial Attenuator
1.3.2.03.03.01.059;Variabel Co Axial Attenuator
1.3.2.03.03.01.060;Directional Coupler (Alat Ukur Universal)
1.3.2.03.03.01.061;Pin Modulator
1.3.2.03.03.01.062;Logig Trouble Shoting Kit
1.3.2.03.03.01.063;Swr Meter
1.3.2.03.03.01.064;Memori Programmer
1.3.2.03.03.01.065;Logig Statc Analyzer
1.3.2.03.03.01.066;Frequency Cuonter
1.3.2.03.03.01.067;Universal Bridge
1.3.2.03.03.01.068;Fb Meter
1.3.2.03.03.01.069;Noise
1.3.2.03.03.01.070;Radiation Monitor Isotropic
1.3.2.03.03.01.071;Phase Meter
1.3.2.03.03.01.072;Global Positioning System
1.3.2.03.03.01.073;Ils. Calibration Rx
1.3.2.03.03.01.074;Dcp (Alat Control) Sensor
1.3.2.03.03.01.075;Moisteur Meter
1.3.2.03.03.01.076;Rota Meter
1.3.2.03.03.01.077;Mini Phasec View
1.3.2.03.03.01.078;Frequency Inverter
1.3.2.03.03.01.079;Accumeter
1.3.2.03.03.01.080;Temperatur Digital
1.3.2.03.03.01.081;Argometer
1.3.2.03.03.01.082;Dial Test Indicator
1.3.2.03.03.01.083;Speed Meter
1.3.2.03.03.01.084;Oil Bath, Hart Scientific
1.3.2.03.03.01.085;Speed Detector
1.3.2.03.03.01.086;Thermohygrometer (Alat Ukur Universal)
1.3.2.03.03.01.087;Traffic Counter
1.3.2.03.03.01.088;Standar Test Gauge
1.3.2.03.03.01.089;Sigma Meter
1.3.2.03.03.01.090;Ionisasi Meter
1.3.2.03.03.01.091;Rotan Sampler Spliter
1.3.2.03.03.01.092;Henry Meter
1.3.2.03.03.01.093;Mesin Kocok Horisontal
1.3.2.03.03.01.094;Capasitor Meter
1.3.2.03.03.01.095;Microprocessor Conductivity
1.3.2.03.03.01.096;Uhf Out Pusttessting Equipment
1.3.2.03.03.01.097;Shrangkage Limit Apparatus
1.3.2.03.03.01.098;R.F. Signal Generator
1.3.2.03.03.01.099;Dewmeter Print
1.3.2.03.03.01.100;Orbital Shaker
1.3.2.03.03.01.101;Vhf/Uhf Dummy Load
1.3.2.03.03.01.102;Ozonizer
1.3.2.03.03.01.103;Psophometric Weighting Network
1.3.2.03.03.01.104;Personal Cdt
1.3.2.03.03.01.105;Portable Test Reck
1.3.2.03.03.01.106;Radio Meter (Alat Ukur Universal)
1.3.2.03.03.01.107;Nmotor Drive Wire Wropper
1.3.2.03.03.01.108;Salinity Temp Depth Analizer
1.3.2.03.03.01.109;Digital Circuit Tester
1.3.2.03.03.01.110;Salinometer
1.3.2.03.03.01.111;Field Strength Meter
1.3.2.03.03.01.112;Acientific Soundeer System
1.3.2.03.03.01.113;Alterneatur
1.3.2.03.03.01.114;Senter Bawah Air
1.3.2.03.03.01.115;Mega Ohm Tester
1.3.2.03.03.01.116;Six Place Hidromanifold
1.3.2.03.03.01.117;Insulation Tester (Alat Ukur Universal)
1.3.2.03.03.01.118;Sonicator Virsoic Call Disluptor
1.3.2.03.03.01.119;Electric Bench
1.3.2.03.03.01.120;Sweep Function Generator
1.3.2.03.03.01.121;Loadmeter
1.3.2.03.03.01.122;System Uv Sterelisasi Dan Sirkulasi Ai
1.3.2.03.03.01.123;Counter Tester
1.3.2.03.03.01.124;System For Chemical Oxygen Demond
1.3.2.03.03.01.125;The Dacor Seasprint Under Water Vehicle
1.3.2.03.03.01.126;Titration Unit
1.3.2.03.03.01.127;Ultrasonic Cleaner (Alat Ukur Universal)
1.3.2.03.03.01.128;Water Analysis Kit
1.3.2.03.03.01.129;Wheel Meter
1.3.2.03.03.01.130;Proyection Polariscope
1.3.2.03.03.01.131;Cdma/Gsm Test
1.3.2.03.03.01.132;Antenna Selector
1.3.2.03.03.01.133;Log Periodic Antenna
1.3.2.03.03.01.134;Alat Ukur Sigmat
1.3.2.03.03.01.135;Alat Ukur Air Aki
1.3.2.03.03.01.136;True Root Mean Square (Rms) Multimeter
1.3.2.03.03.01.137;Alat Ukur Universal Lainnya
1.3.2.03.03.02.001;Test Intelegensia Wpps
1.3.2.03.03.02.002;Test Intelegensia Wisc
1.3.2.03.03.02.003;Test Intelegensia Wb
1.3.2.03.03.02.004;Test Intelegensia Wb Advence
1.3.2.03.03.02.005;Test Intelegensia Progresive Matricaral
1.3.2.03.03.02.006;Test Intelegensia Vineland
1.3.2.03.03.02.007;Test Intelegensia Black Passalon
1.3.2.03.03.02.008;Alat Ukur/Test Intelegensia Lainnya
1.3.2.03.03.03.001;Alat Ukur / Test Alat Kepribadian Dotcita
1.3.2.03.03.03.002;Alat Ukur / Test Alat Kepribadian Zat
1.3.2.03.03.03.003;Alat Ukur / Test Alat Kepribadian Warna
1.3.2.03.03.03.004;Alat Ukur / Test Alat Kepribadian Zondi
1.3.2.03.03.03.005;Alat Ukur / Test Alat Kepribadian Cat
1.3.2.03.03.03.006;Alat Ukur / Test Alat Kepribadian Wppz
1.3.2.03.03.03.007;Alat Ukur / Test Alat Kepribadian Woinaa
1.3.2.03.03.03.008;Alat Ukur / Test Alat Kepribadian Kudu
1.3.2.03.03.03.009;Vidio Measurement
1.3.2.03.03.03.010;Alat Ukur/Test Alat Kepribadian Lainnya
1.3.2.03.03.04.001;Binder Aestalt
1.3.2.03.03.04.002;General Vocationalanpunde Tester
1.3.2.03.03.04.003;Consoroting Tester
1.3.2.03.03.04.004;Meroding Tester
1.3.2.03.03.04.005;Meroding Brinding Tester
1.3.2.03.03.04.006;Cord Briding Tester
1.3.2.03.03.04.007;Grip Diagnannonnuter
1.3.2.03.03.04.008;Black Anolig Muscle Dinamo Meter Jumping Meter
1.3.2.03.03.04.009;Modulation/Jumping Meter
1.3.2.03.03.04.010;Channel Conventer
1.3.2.03.03.04.011;Rf Analyzer
1.3.2.03.03.04.012;Meronding Vacational Lanpunde Tester
1.3.2.03.03.04.013;Kekuatan Otot Pinggang
1.3.2.03.03.04.014;Alat Ukur/Test Klinis Lain Lainnya
1.3.2.03.03.05.001;Calibration Level Generator
1.3.2.03.03.05.002;Color Bar Generator
1.3.2.03.03.05.003;Grid Pattem Generator
1.3.2.03.03.05.004;Grating Generator Unit
1.3.2.03.03.05.005;Insection Signal Generator
1.3.2.03.03.05.006;Insection Test Signal Generator
1.3.2.03.03.05.007;Multiburst Generator Unit
1.3.2.03.03.05.008;Pattem Generator
1.3.2.03.03.05.009;Stair Stope Generator Unit
1.3.2.03.03.05.010;Sign Wave Generator Unit
1.3.2.03.03.05.011;Test Generator
1.3.2.03.03.05.012;Test Line Generator
1.3.2.03.03.05.013;Tv Test Signal Generator
1.3.2.03.03.05.014;Tv If Signal Generator
1.3.2.03.03.05.015;Pal Test Generator
1.3.2.03.03.05.016;Monochrome Test Generator
1.3.2.03.03.05.017;Standard Level Generator
1.3.2.03.03.05.018;Interval Test Generator
1.3.2.03.03.05.019;Station Identification Generator
1.3.2.03.03.05.020;Character Generator (Alat Kalibrasi)
1.3.2.03.03.05.021;Video Generator
1.3.2.03.03.05.022;Waveform Generator Special Efect
1.3.2.03.03.05.023;Test Signal Generator
1.3.2.03.03.05.024;Special Effect
1.3.2.03.03.05.025;Dead Weight Tester
1.3.2.03.03.05.026;Fuel Injection Test
1.3.2.03.03.05.027;Mater Calibrator
1.3.2.03.03.05.028;Pulse Generator (Alat Kalibrasi)
1.3.2.03.03.05.029;Autometic Syntheisizer
1.3.2.03.03.05.030;Pattern Tv Adjusment
1.3.2.03.03.05.031;Rc Generator
1.3.2.03.03.05.032;Bantam Air Sampler
1.3.2.03.03.05.033;Combined Vacum Pump
1.3.2.03.03.05.034;Class Meter Ii
1.3.2.03.03.05.035;Lend Brich (Timah Hitam)
1.3.2.03.03.05.036;Air Partical Tape Sampler
1.3.2.03.03.05.037;Universal Spectometer
1.3.2.03.03.05.038;Gm Preamplifier P31
1.3.2.03.03.05.039;Crytal For D 200
1.3.2.03.03.05.040;Window For F 200
1.3.2.03.03.05.041;Seintication Detector
1.3.2.03.03.05.042;Radio Arsipe Sounde Groun
1.3.2.03.03.05.043;Radio Arsipe Sounde Meter
1.3.2.03.03.05.044;Regullating Transformator
1.3.2.03.03.05.045;Radio Active Source
1.3.2.03.03.05.046;Aloka Nuclear Instrument
1.3.2.03.03.05.047;Electron Calculator Hewlet
1.3.2.03.03.05.048;Packard Mini Komplit
1.3.2.03.03.05.049;Mica Window, Griger Tube
1.3.2.03.03.05.050;Time Up
1.3.2.03.03.05.051;Tehnical Drawing Machine
1.3.2.03.03.05.052;Slide Resister
1.3.2.03.03.05.053;Tracerlab
1.3.2.03.03.05.054;Rapid Reading Balance
1.3.2.03.03.05.055;Versamatic Ii Scaler
1.3.2.03.03.05.056;Alpha Seintilation
1.3.2.03.03.05.057;Field Balance
1.3.2.03.03.05.058;Sorterak
1.3.2.03.03.05.059;Precicheh Grainer Electronic
1.3.2.03.03.05.060;Micromat Grainer Electonic
1.3.2.03.03.05.061;Sun Photo Meter
1.3.2.03.03.05.062;Epidiascome
1.3.2.03.03.05.063;Regullating Transformator Radio Active Sound
1.3.2.03.03.05.064;Radio Active Sound Antenna Td-2
1.3.2.03.03.05.065;Control Verity
1.3.2.03.03.05.066;Mechanic Setter
1.3.2.03.03.05.067;Epanics
1.3.2.03.03.05.068;Electronic Spear
1.3.2.03.03.05.069;Transmitting Vacuum
1.3.2.03.03.05.070;Automatic Emergency Lighting
1.3.2.03.03.05.071;Preccision Laboratory Balance
1.3.2.03.03.05.072;Moisture Determination Balance
1.3.2.03.03.05.073;Loud And Large Converter
1.3.2.03.03.05.074;Prim Apparat
1.3.2.03.03.05.075;Thermostat
1.3.2.03.03.05.076;Thermohygrostat
1.3.2.03.03.05.077;Barostat
1.3.2.03.03.05.078;Alat Tera Radiasi Matahari
1.3.2.03.03.05.079;Alat Tera Kecepatan Angin
1.3.2.03.03.05.080;Amplifier Micro Thermometer
1.3.2.03.03.05.081;Visilight Recorder
1.3.2.03.03.05.082;Vibrometer (Alat Kalibrasi)
1.3.2.03.03.05.083;Refracsion Seismograph
1.3.2.03.03.05.084;Radio Sonde
1.3.2.03.03.05.085;Hand Vibrstion Test
1.3.2.03.03.05.086;Flaw Detector
1.3.2.03.03.05.087;Multigas Detector
1.3.2.03.03.05.088;Softeware Multigas Retector
1.3.2.03.03.05.089;Caoting Thicknes Gauge
1.3.2.03.03.05.090;Wet Film Thicknes Gauge
1.3.2.03.03.05.091;Dual Scape Electrinic Coating Thicknes
1.3.2.03.03.05.092;Ultrasonic Thicknes Test
1.3.2.03.03.05.093;Oil Test Kit
1.3.2.03.03.05.094;Coolant Test Kit
1.3.2.03.03.05.095;Baretey Charger Test
1.3.2.03.03.05.096;High Teck Full Face Mask
1.3.2.03.03.05.097;Hadled Printer
1.3.2.03.03.05.098;Colour Spectrophotometer
1.3.2.03.03.05.099;Positest (Banana) Gauge
1.3.2.03.03.05.100;Concrette Thickness Gauge
1.3.2.03.03.05.101;Temperature Bath
1.3.2.03.03.05.102;Temperature Chamber
1.3.2.03.03.05.103;High Volume Air Sampler (Hvas) Calibration Kit
1.3.2.03.03.05.104;Alat Kalibrator Kelistrikan
1.3.2.03.03.05.105;Gravimeter Calibrator
1.3.2.03.03.05.106;Calibration Table
1.3.2.03.03.05.107;Magnetometer Kalibrator
1.3.2.03.03.05.108;Shaking Table
1.3.2.03.03.05.109;Alat Kalibrasi Lainnya
1.3.2.03.03.06.001;Oscilloscope Main Frame
1.3.2.03.03.06.002;Oscilloscope Main Frame With Variable Persistnce Strorage Tube
1.3.2.03.03.06.003;Oscilloscope Special
1.3.2.03.03.06.004;Oscilloscope Envelope
1.3.2.03.03.06.005;Synchronoscope
1.3.2.03.03.06.006;Vectorscope
1.3.2.03.03.06.007;Waveform Monitor Set With Level And Vector Display
1.3.2.03.03.06.008;Analyzer Fn Side Band
1.3.2.03.03.06.009;Analyzer Spektrum Display
1.3.2.03.03.06.010;Plyscope
1.3.2.03.03.06.011;Videoscope With Side Band Adaptor
1.3.2.03.03.06.012;Oscilloscope Lainnya
1.3.2.03.03.07.001;Frequency Counter (Universal Tester)
1.3.2.03.03.07.002;Insulation Res Meter Mod
1.3.2.03.03.07.003;Noise & Distortion Meter
1.3.2.03.03.07.004;Oscilator Distortion Meter
1.3.2.03.03.07.005;Oscilator Test Signal
1.3.2.03.03.07.006;Oscilator Widw Band
1.3.2.03.03.07.007;Oscilator Sweep
1.3.2.03.03.07.008;Precision Encoder Monitor
1.3.2.03.03.07.009;Plambicon Test Unit
1.3.2.03.03.07.010;Scanner (Universal Tester)
1.3.2.03.03.07.011;Time Interval Unit
1.3.2.03.03.07.012;Universal Counter (Universal Tester)
1.3.2.03.03.07.013;Video Noise Meter
1.3.2.03.03.07.014;Admintance Meter
1.3.2.03.03.07.015;Admintance Bride
1.3.2.03.03.07.016;Fieldstrength Meter
1.3.2.03.03.07.017;Rf Bridge
1.3.2.03.03.07.018;Rf Push Button Attenuator
1.3.2.03.03.07.019;Vision And Sound Nyquist Demodulator Amf
1.3.2.03.03.07.020;V.S.W.R Standing Review
1.3.2.03.03.07.021;Digital Frequence Meter
1.3.2.03.03.07.022;Vindicam Quick Tester
1.3.2.03.03.07.023;Coaxial Att
1.3.2.03.03.07.024;Variable Coaxial Att
1.3.2.03.03.07.025;Logic Probe (Universal Tester)
1.3.2.03.03.07.026;Survey Meter (Universal Tester)
1.3.2.03.03.07.027;Logic Comparator
1.3.2.03.03.07.028;Universal Tester Lainnya
1.3.2.03.03.08.001;Ukuran Johanson (Alat Pembanding Standar Ukuran Panjang)
1.3.2.03.03.08.002;Micro Indicator (Dengan Perlengkapan Suparto Pointers Dan Revol
1.3.2.03.03.08.003;Perlengkapan Micro Indicator
1.3.2.03.03.08.004;Psycometer Van Lambrecht
1.3.2.03.03.08.005;Psycometer
1.3.2.03.03.08.006;Barometer Logam
1.3.2.03.03.08.007;Barometer Mercury
1.3.2.03.03.08.008;Manometer Untuk Mesin
1.3.2.03.03.08.009;Monotor Precisi
1.3.2.03.03.08.010;Alat Pemeriksa Manometer (Dengan Perlengkapan)
1.3.2.03.03.08.011;Alat Pemeriksaan Zat Cair
1.3.2.03.03.08.012;Termometer Standar
1.3.2.03.03.08.013;Termometer Govermen Tester 0 Derajat Sampai Dengan 100 Derajat C
1.3.2.03.03.08.014;Thermostat (Penguji Pemeriksaan Termometer)
1.3.2.03.03.08.015;Jam Ukur (Meet Lock)
1.3.2.03.03.08.016;Hardnes Tester
1.3.2.03.03.08.017;Stopwatch
1.3.2.03.03.08.018;Loup
1.3.2.03.03.08.019;Planimeter (Alat Ukur/Pembanding)
1.3.2.03.03.08.020;Metra Block
1.3.2.03.03.08.021;Lemari Baja Pengering
1.3.2.03.03.08.022;Sanblas Unit
1.3.2.03.03.08.023;Alat Pemeriksaan Timbangan Tekanan Beroda
1.3.2.03.03.08.024;Stelan Instrumen Bourje
1.3.2.03.03.08.025;Lampu Untuk Menerangi Skala Neraca Pakai Standar
1.3.2.03.03.08.026;Avometer Su 20 - 20 K
1.3.2.03.03.08.027;Trappo 1.000 Watt
1.3.2.03.03.08.028;Tool Set
1.3.2.03.03.08.029;Landasan Cap Lengkap
1.3.2.03.03.08.030;Kaki Tiga Gantungan Dacin
1.3.2.03.03.08.031;Alat Pendatar Takaran Bensin
1.3.2.03.03.08.032;Tang Plombir / Segel
1.3.2.03.03.08.033;Exicator Besar
1.3.2.03.03.08.034;Exicator Kecil
1.3.2.03.03.08.035;Desicator (Size) 3
1.3.2.03.03.08.036;Desicator (Size) 4
1.3.2.03.03.08.037;Botol Air Saling Dari 25 Liter
1.3.2.03.03.08.038;Picnometer
1.3.2.03.03.08.039;Desimeter (Hidrometer)
1.3.2.03.03.08.040;Telescope Tile Varieble
1.3.2.03.03.08.041;Optical Strean (Untuk Pemeriksaan Kaca)
1.3.2.03.03.08.042;Optocal Teknis Gange (Pengukur Tebal Dinding)
1.3.2.03.03.08.043;Lifter Capasitas 500 Kg
1.3.2.03.03.08.044;Taximeter Tester
1.3.2.03.03.08.045;Spedometer Tester
1.3.2.03.03.08.046;Standard Guage Blocks
1.3.2.03.03.08.047;Finest Direct Reading Intern Micrometer Of Varios Range Up To 10
1.3.2.03.03.08.048;Constant Temperature Combined Bridge Thermostat
1.3.2.03.03.08.049;Transparan Plastic Rack Insert For 20 Test Test Tubes 75 X 17
1.3.2.03.03.08.050;Water Bath Plexiglass Capasity 71
1.3.2.03.03.08.051;Test Tube Rack Stainlesstel With 10 Holes 18 Mm Dia
1.3.2.03.03.08.052;Calorimeter Thermometer Aceto Bestmen Certificate Sit Of Gauge Pretition Lands Berger
1.3.2.03.03.08.053;Thermometer
1.3.2.03.03.08.054;Set Of 14 Hight Precision Ameral Thermometer
1.3.2.03.03.08.055;Addition Tuner Stop Watch
1.3.2.03.03.08.056;Universal Clamp, Clamping Range 6 To 12 Mm
1.3.2.03.03.08.057;Universal Clamp, Clamping Range 6 To 75 Mm
1.3.2.03.03.08.058;Venier Caliver
1.3.2.03.03.08.059;Propile Proyektor Toyo Serie
1.3.2.03.03.08.060;Tool Maker Microscope Magnification 30 X
1.3.2.03.03.08.061;Microscope Multiview
1.3.2.03.03.08.062;Stop Watch Printer
1.3.2.03.03.08.063;Alat Ukur/Pembanding Lainnya
1.3.2.03.03.09.001;Meter X - 27 Dari Platina Tridium
1.3.2.03.03.09.002;H - Meter Dari Baja Nikel
1.3.2.03.03.09.003;Komparator
1.3.2.03.03.09.004;Alat Pengukur Garis Tengah
1.3.2.03.03.09.005;Ban Ukur
1.3.2.03.03.09.006;Diameter Tape
1.3.2.03.03.09.007;Ukuran Tinggi Orang
1.3.2.03.03.09.008;Schuifmaat (Ukuran Ingsut)
1.3.2.03.03.09.009;Lifter Standard (1 Liter)
1.3.2.03.03.09.010;Bejana Ukur
1.3.2.03.03.09.011;Alat Ukur Kadar Air (Alat Ukur Lainnya)
1.3.2.03.03.09.012;Alat Ukur Pemecah Kulit Gabah
1.3.2.03.03.09.013;Rain Gauge
1.3.2.03.03.09.014;Needle Lift Sensor
1.3.2.03.03.09.015;Isolab
1.3.2.03.03.09.016;Laser Ace
1.3.2.03.03.09.017;Mistar Rambu
1.3.2.03.03.09.018;Alat Ukur Lainnya
1.3.2.03.03.10.001;Timbangan Jembatan Capasitas 10 Ton
1.3.2.03.03.10.002;Timbangan Meja Capasitas 10 Kg
1.3.2.03.03.10.003;Timbangan Meja Capasitas 5 Kg
1.3.2.03.03.10.004;Timbangan Bbi Capasitas 100 Kg
1.3.2.03.03.10.005;Timbangan Bbi Capasitas 25 Kg
1.3.2.03.03.10.006;Timbangan Bbi Capasitas 15 Kg (Timbangan Bayi)
1.3.2.03.03.10.007;Timbangan Bbi Capasitas 10 Kg
1.3.2.03.03.10.008;Timbangan Cepat Capasitas 10 Kg
1.3.2.03.03.10.009;Timbangan Cepat Capasitas 25 Kg
1.3.2.03.03.10.010;Timbangan Cepat Capasitas 200 Kg
1.3.2.03.03.10.011;Timbangan Pegas Capasitas 10 Kg
1.3.2.03.03.10.012;Timbangan Pegas Capasitas 50 Kg (Alat Timbangan/Biara)
1.3.2.03.03.10.013;Timbangan Surat Capasitas 100 Kg
1.3.2.03.03.10.014;Timbangan Kwadran Capasitas 100 Kg
1.3.2.03.03.10.015;Timbangan Sentisimal Dacin Kuningan
1.3.2.03.03.10.016;Timbangan Gula Gaveka
1.3.2.03.03.10.017;Timbangan Gantung Capasitas 50 Gram
1.3.2.03.03.10.018;Neraca Halus + Lemari Capasitas 500 Gram
1.3.2.03.03.10.019;Neraca Parama E
1.3.2.03.03.10.020;Neraca Parama D Capasitas 5 Gram
1.3.2.03.03.10.021;Neraca Percisi Elektronik Capasitas 1 Kg
1.3.2.03.03.10.022;Neraca Percisi (Single Pan) Capasitas 20 Kg
1.3.2.03.03.10.023;Neraca Percisi (Elektronik Vacum Me)
1.3.2.03.03.10.024;Neraca Percisi 30 Kg (Micro Balance)
1.3.2.03.03.10.025;Neraca Percisi Capasitas 50 Gram
1.3.2.03.03.10.026;Neraca Percisi Capasitas 1 Kg
1.3.2.03.03.10.027;Neraca Tera E
1.3.2.03.03.10.028;Neraca Tera A Capasitas 75 Kg
1.3.2.03.03.10.029;Neraca Tera B Capasitas 10 Kg
1.3.2.03.03.10.030;Neraca Torsion Balance Capasitas 500 Gram
1.3.2.03.03.10.031;Neraca Analisa Capasitas 1000 Gram
1.3.2.03.03.10.032;Neraca Analisa Capasitas 20 Kg
1.3.2.03.03.10.033;Neraca Capasitas 1 Kg
1.3.2.03.03.10.034;Neraca Capasitas 20 Kg
1.3.2.03.03.10.035;Moister Meter
1.3.2.03.03.10.036;Neraca Dengan Digital Display
1.3.2.03.03.10.037;Alat Timbangan/Biara Lainnya
1.3.2.03.03.11.001;Kilogram Tembaga Nasional Platina
1.3.2.03.03.11.002;Kilogram Tembaga Bentuk Tong Bersadur Mas Murni 1 Kg
1.3.2.03.03.11.003;Kilogram Sepuh Mas 1 Kg. Pakai Tombol
1.3.2.03.03.11.004;Kilogram Baja Berbentuk Tong Bersadur Croom
1.3.2.03.03.11.005;Kilogram Dari Baja Berbentuk Slinder
1.3.2.03.03.11.006;Kilogram Kerja Standar Tk.Ii
1.3.2.03.03.11.007;Kilogram Standar
1.3.2.03.03.11.008;Anak Timbangan Tembaga Kantor Tk.Iii
1.3.2.03.03.11.009;Anak Timbangan Miligram
1.3.2.03.03.11.010;Anak Timbangan Miligram Platina
1.3.2.03.03.11.011;Anak Timbangan Miligram Aluminium
1.3.2.03.03.11.012;Anak Timbangan Gram Standar 1 Gram
1.3.2.03.03.11.013;Anak Timbangan Halus Dari 1.000 - 1 Gram
1.3.2.03.03.11.014;Anak Timbangan Biasa Dari 1.000 - 1 Gram
